,shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
186,Jordan 1 Mid Paris White, Jordan, DR8038-100,130,114, 126, 126, 6374ff50c30ceb3748b4871b, Jordan 1 Mid, White/University Red/Stealth/Midnight Navy, 2022-03-23, The city that never sleeps is celebrated in the Air Jordan 1 Mid ‘Paris.’ The monochrome white of this mid-top is intersected by a contrasting navy suede Swoosh with breathable white mesh providing texture on the mid-cut collar and a grey leather flap displaying red Wings branding decorating the lateral side. The nylon tongue features a leather tag with a navy Jumpman above a crimson 'Paris.' A white rubber midsole houses an Air-sole unit followed with the traditional AJ1 outsole.
187,Jordan 1 Low Court Purple White, Jordan, 553558-500,90,187, 177, 177, 6374ff50c30ceb3748b4871c, Jordan 1 Low, Court Purple/Black-White, 2020-11-04, The Air Jordan 1 Low 'Court Purple' gives a new iteration of the iconic shoe form renewed in White and Court Purple. Its upper spotlights a leather base with overlays and the standard Wings’ Logo. On the upper a Swoosh emphasizes the design with a nylon contstructed tongue. The midsole is built on top of a rubber outsole with a circular build for traction.
188,Jordan 11 Retro Space Jam (2016), Jordan, 378037-003,220,384, 345, 300, 6374ff50c30ceb3748b4871e, Jordan 11 Retro, Black/Dark Concord-White, 2016-12-10, The 2016 reissue of the Air Jordan 11 Retro ‘Space Jam’ was successful enough that it surpassed all previous releases in Nike history to become the brand’s highest grossing sneaker to date. The retro launch marking the 20th anniversary of the shoe’s namesake film features a design that’s true to Michael Jordan’s original PE colorway including the ‘45’ printed in white on the heel tab.
189,Off-White x Jordan T-shirt Black, Off-White, DM0061-010,100,122, 133, undefined, 6374ff50c30ceb3748b4871f, Off-White x Jordan, Black, 2021-11-12, This Off-White x Jordan T-shirt in black was released on November 12th 2021 alongside the pair's collaborative Jordan 2 sneaker.This release included eight new Off-White x Jordan apparel items making it the largest collaborative collection from the pair in 2021. This particular t-shirt features collaborative Off-White and Jordan logos on both the front and back of the shirt.The black Off-White x Jordan T-shirt was released on November 12th 2021 at the retail price of $100.
190,Jordan 11 Retro Cool Grey (2021) (PS), Jordan, 378039-005,100,105, 100, 67, 6374ff50c30ceb3748b48725, Jordan 11 Retro, Medium Grey/Multi-Color/Multi-Color, 2021-12-11, Celebrating the shoe's 20th anniversary available in kid sizes is the 2021 reissue of the Air Jordan 11 Retro PS 'Cool Grey.' It stays true to its' original release with a grey nubuck upper with tonal webbing lace loops and a glossy patent leather overlay. The branding includes a Jumpman logo embroidered on the lateral ankle and '23' stamped on the back tab. It's built on a white Phylon midsole and translucent rubber outsole.
191,Jordan 1 Retro High Tokyo Bio Hack, Jordan, 555088-201,170,224, 190, 190, 6374ff50c30ceb3748b48727, Jordan 1 Retro High, Baroque Brown/Black-Laser Orange-Racer Pink, 2020-09-04, The Air Jordan 1 Retro High OG 'Tokyo Bio Hack' features inspiration from the Japanese capital. The shoe's upper is built with a mix of leather and suede finished in a color-blocked look that brings to mind Undefeated's Nike Dunk High NL collaboration from 2005. Underfoot the painted Air midsole provides cushioning giving way to a concentric outsole for traction.
192,Jordan 1 Mid Metallic Orange, Jordan, DM3531-800,115,108, 102, 102, 6374ff50c30ceb3748b48729, Jordan 1 Mid, Electro Orange/Black-White, 2021-08-11, The Air Jordan 1 Mid SE 'Electro Orange' features a vibrant look on its classic basketball construction. The shoe's upper is built with leather finished in white and highlighted by metallic Electro Orange overlays throughout. The 'Wings' logo on the collar contrasts the look in black while underfoot the white and Electro Orange look continues onto the tooling comprised of an Air midsole and concentric rubber outsole.
193,Jordan 1 Mid SE All-Star Carbon Fiber (2021) (GS), Jordan, DD2192-001,100,198, 198, 139, 6374ff50c30ceb3748b4872a, Jordan 1 Mid SE, Black/White, 2021-03-06, The Air Jordan 1 Mid SE GS 'All-Star 2021' is a grade-school iteration of the shoe. Paying tribute to the NBA's exhibition showcase the shoe emerges with a classic colorway and an elevated construction. Built with a white leather base the upper is contrasted by black patent leather overlays with a faux carbon-fiber print marking the Swoosh heel and collar. Perforations on the tongue tag provide breathability while underfoot Air in the heel of the midsole provides cushioning.
194,Jordan 4 Retro PSG Paris Saint-Germain, Jordan, CZ5624-100,225,357, 249, 249, 6374ff50c30ceb3748b4872f, Jordan 4 Retro, White/Black-Metallic Gold-Bordeaux, 2020-10-10, A collaboration between Jordan Brand and Paris Saint-Germain the Paris Saint-Germain x Air Jordan 4 Retro 'Bordeaux' emerges with an elevated colorway. Featuring color-blocking modeled after the 'Fire Red' the shoe's white leather upper includes Bordeaux hits on the eyelets inner tongue and heel. The heel itself sports Jumpman and PSG branding while Paname appears on the lateral forefoot tag. Visible Air in the heel provides cushioning.
195,Jordan 1 Mid White Black Racer Blue, Jordan, 554724-140,115,160, 139, 120, 6374ff50c30ceb3748b48739, Jordan 1 Mid, White/Racer Blue-Black, 2021-08-05, The Air Jordan 1 Mid 'Racer Blue' emerges with OG-style color-blocking on this 2021 release. Built with leather the shoe's upper sports a white base with the overlays contrasting the look in black. Suede marks the collar which appears in Racer Blue matched by the branding including the leather Swoosh on the side wall. Underfoot Air in the heel of the rubber midsole provides cushioning with the outsole incorporating a concentric pattern for traction.
196,Jordan 1 Low Black University Blue White (W), Jordan, DC0774-041,100,135, 134, 134, 6374ff50c30ceb3748b4873a, Jordan 1 Low, Black/University Blue-White, 2021-12-14, Featuring an accent color that goes back into the history of the Jordan franchise is the women's Air Jordan 1 Low 'Black University Blue.' This low-top has an all-leather upper that brings together a white base with contrasting black overlays and a signature Swoosh stitched Wings logo on the heel and a Jumpman icon embroidered on the nylon tongue in University Blue. It's built on a sturdy rubber cupsole with encapsulated Air cushioning in the heel.
197,Jordan 1 Retro High OG Prototype , Jordan, DC6515-100,170,153, 130, 130, 6374ff50c30ceb3748b4873c, Jordan 1 Retro High OG, White/Multi-Color-Total Orange, 2021-09-24, The Air Jordan 1 Retro High OG 'Prototype' brings a contrasting look to its classic basketball construction. Built with leather the shoe's upper appears in white overlaid by grey and black leather and tan nubuck. The collar highlights the design in various shades of blue with perforated detailing that can be cut away to turn the build into a low-top. Underfoot the midsole houses Air in the heel for cushioning with a concentric rubber outsole for traction.
198,Jordan 1 Retro High OG Light Fusion Red, Jordan, 555088-603,170,105, 114, 114, 6374ff50c30ceb3748b4873e, Jordan 1 Retro High OG, Light Fusion Red/White-Laser Orange-Black, 2021-06-12, The Air Jordan 1 Retro High OG 'Light Fusion Red' brings a vibrant look to its classic basketball construction. Built with leather shoe's upper features a white base overlaid by Light Fusion Red and sporting Laser Orange on the Swoosh branding. The tongue tag features a gradient mix of the latter two hues while underfoot the white midsole houses Air in the heel for cushioning giving way to a concentric rubber outsole for traction.
199,Jordan 1 Mid Signal Blue, Jordan, DD6834-402,115,142, 144, 144, 6374ff50c30ceb3748b4873f, Jordan 1 Mid, Signal Blue/Black-White, 2021-01-15, Featuring an elevated build the Air Jordan 1 Mid SE 'Signal Blue' sports a familiar mix of hues. The shoe's upper emerges with a white leather base overlaid by Signal Blue patent leather that sports black trim. Both colors come together on the Swoosh branding while perforations on the toe box provide breathability. A nylon tongue adds a retro touch and underfoot the midsole houses the usual Air in the heel for cushioning. A concentric rubber outsole offers traction.
200,Jordan 1 Mid SE Brushstroke, Jordan, DA8005-100,130,144, 128, 113, 6374ff50c30ceb3748b48741, Jordan 1 Mid SE, Sail/Black-Cider-Chile Red, 2021-08-17, The Air Jordan 1 Mid SE 'Brushstroke Paint Splatter' brings various art styles to its classic basketball build. The shoe's canvas upper appears with a white base complemented by Cider overlays that sport multicolor paint drops. The mismatched Swoosh branding includes suede on the medial side and a painted-on black Swoosh on the lateral while underfoot more paint splatter appears on the Air midsole which provides cushioning.
201,Jordan 5 Retro Bluebird (W), Jordan, DD9336-400,190,179, 140, 140, 6374ff50c30ceb3748b48743, Jordan 5 Retro, Photo Blue/Football Grey-Metallic Silver-White, 2021-10-07, The Wmns Air Jordan 5 Retro 'Blue Bird' features a vibrant look on its classic basketball construction. The shoe's upper emerges in suede finished in Photo Blue and secured by molded TPU eyelets and a lace lock. The quarter panel includes clear netting while more blue marks the Jumpman on the silver tongue. Underfoot the signature shark-tooth detailing also appears in silver with visible Air in the heel offering cushioning. A translucent rubber outsole provides traction.
202,Jordan 1 Low SE All-Star (2021), Jordan, DD1650-001,90,230, 225, 150, 6374ff50c30ceb3748b48744, Jordan 1 Low, Black/White, 2021-09-20, Giving the nod to the NBA's midseason exhibition the Air Jordan 1 Low 'All Star 2021' emerges with a largely black look and an elevated construction. The shoe's upper features a black leather base overlaid by tonal patent leather at the toe and heel. The Swoosh also sports a patent leather construction contrasted by white stitching that's matched by the 'Wings' logo. Underfoot a white Air midsole provides cushioning giving way to a concentric rubber outsole for traction.
203,Jordan 6 Retro Gold Hoops (W), Jordan, DH9696-100,190,182, 150, 120, 6374ff50c30ceb3748b48745, Jordan 6 Retro, White/Sail-Metallic Gold-Barely Rose, 2021-07-01, The Wmns Air Jordan 6 Retro 'Gold Hoops' brings elevated hits fit for its championship pedigree. Built with tumbled leather the shoe's upper appears in white complemented by Barely Rose on the tongue and heel pull-loop. A metallic gold lace lock and earring-inspired gold hoops highlight the design matched by the attached Jumpman charm. Underfoot a two-tone midsole houses visible Air in the heel for cushioning giving way to a milky rubber outsole for traction.
204,Jordan 11 Retro Playoffs Bred (2019) (GS), Jordan, 378038-061,170,181, 163, 163, 6374ff50c30ceb3748b48747, Jordan 11 Retro, Black/White-Varsity Red, 2019-12-14, Resurrected in December 2019 the Nike Air Jordan 11 Retro GS 'Bred' evokes the classic colorway from 1996. This kids' variant boosts the icon in black mesh teamed with a unique patent leather mudguard and webbing eyestays. A Jumpman logo in Varsity Red is stitched on the counter. Strengthened by a carbon fiber midfoot shank the Air-infused midsole and translucent rubber outsole provide durability and support.
205,Jordan 4 Retro SE DIY (GS), Jordan, DC4101-100,150,159, 100, 100, 6374ff50c30ceb3748b48749, Jordan 4 Retro, White/Black-Volt, 2021-08-19, The Air Jordan 4 Retro GS 'DIY' features a look designed to be customized. The shoe's upper is built with leather finished in white and contrasted by black throughout including on the TPU eyelets and structural wings. The vamp includes the usual netting but the quarter panel forgoes it instead adding pen-and-ink grapics. Those designs can be filled in using markers adding color to the look. Underfoot the lightly speckled midsole houses visible Air in the heel for cushioning.
206,Jordan Luka 1 Black Signal Blue, Jordan, FB1800-004/FB1801-004,110,121, undefined, undefined, 6374ff50c30ceb3748b4874a, Jordan Luka 1, Black/Metallic Silver/Signal Blue, 2022-09-28," Despite having several colorways already on the market Jordan Brand has added to its 2022 collection offering a brand new Air Jordan Luka 1 Black Signal Blue.Air Jordan Luka 1 Black Signal Blue has a black-mesh top that is reinforced with a fuse and Flywire cables. The top's medial side features the green-themed phrase ""NON-DESISTAS NON-EXIERIS"" meaning "" Do not Give Up Nor Surrender."" The sneaker's midsole features a speckled grey and a blue Iso Plate. The outer sole features a clear rubber with placements of Iso Plate with an injection of Formula 23 foam.Upon its release in November 2022 Air Jordan Luka 1 Black Signal Blue will retail at $110."
207,Jordan 1 Mid Gym Red Black White, Jordan, 554724-122,120,141, 120, 90, 6374ff50c30ceb3748b48751, Jordan 1 Mid, White/Gym Red-Black, 2021-08-01, Appearing in a classic Jordan Brand colorway the Air Jordan 1 Mid 'Black Gym Red' released in May 2021. Built with leather the shoe's upper sports a white base contrasted by black on the overlays and highlighted by Gym Red on the padded collar 'Wings' logo and Swoosh branding. A breathable nylon tongue and perforated toe box support the fit while underfoot a standard rubber cupsole with Air in the heel anchors the build.
208,Jordan 12 Retro Royalty Taxi (GS), Jordan, 153265-170,140,105, 100, 72, 6374ff50c30ceb3748b48752, Jordan 12 Retro, White/Black-Metallic Gold, 2021-11-13, Available for grade school sizes the Air Jordan 12 Retro GS 'Royalty' features a new take on the shoe's original 'Taxi' colorway from 1996. The mid-top features a stitched white leather upper with black lizard-textured mudguards and metallic gold eyelets. The tongue features matching gilded accents on the embroidered Jumpman logo and a small overlay on the lateral side with debossed 'Jumpman' lettering. It has a phylon midsole full-length Zoom Air unit and carbon fiber shank plate. It's built on a herringbone-tread rubber outsole.
209,Jordan 3 Retro Patchwork Camo, Jordan, DO1830-200,200,214, 158, 158, 6374ff50c30ceb3748b48753, Jordan 3 Retro, Dark Hazel/Multi-Color, 2021-11-29, Using refreshed materials and prints to the iconic model is the Air Jordan 3 Retro 'Patchwork.' A dark beige hue is featured on the canvas and textile upper with diverging overlays in moss green and woodland camo. The segmented mudguard has a mix of beige herringbone twill and grey rain camo with an olive green shaggy suede heel overlay. The heel tab has a customization option with a removable hook-and-loop fastener patch. Lightweight cushioning is provided by a two-tone polyurethane midsole with a red-tinged Air-sole unit under the heel.
210,Jordan 4 Retro Where the Wild Things Are (GS), Jordan, DH0572-264,140,163, 155, 135, 6374ff50c30ceb3748b48754, Jordan 4 Retro, Pearl White/Dark Driftwood-Gym Red, 2021-11-05, Only available in kids sizing is the Air Jordan 4 Retro GS 'Wild Things.' It updates Tinker Hatfield's original design with a cozy build and has an upper crafted from tan leather with tonal fleece construction on the collar and tongue. Molded eyelets are featured in neon green pink royal blue and crimson with matching colored structural wings. Jumpman branding is on the molded heel tab and woven tongue tag both rendered in a dark beige finish. Lightweight cushioning is provided by a white foam midsole enhanced with visible Air-sole cushioning and reinforced with grippy gum rubber under the forefoot and heel.
211,Jordan 5 Retro Raging Bull Red (2021) (GS), Jordan, 440888-600,140,111, 95, 89, 6374ff50c30ceb3748b48755, Jordan 5 Retro, Varsity Red/Black-White, 2021-04-10, Released in April 2021 the Air Jordan 5 Retro GS 'Raging Bull' 2021 brings back one half of the 2009 Raging Bull pack. Emerging in grade-school sizing the shoe's suede upper appears in Varsity Red with the signature quarter panel netting marking the side wall. Black contrast throughout including on the molded eyelets completes the familiar 'Bred' look with reflective silver detailing highlighting the tongue. Underfoot the midsole houses visible Air in the heel for cushioning.
212,Jordan 1 Mid Gym Red Black White (GS), Jordan, DJ4695-122,90,122, 110, 69, 6374ff50c30ceb3748b48756, Jordan 1 Mid, White/Gym Red-Black, 2021-04-16, The Air Jordan 1 Mid GS 'Black Gym Red' is a grade-school shoe in a classic Chicago Bulls mix of hues. The shoe's upper is built with a white leather base with black contrasting the forefoot and heel overlays and Gym Red accenting the Swoosh. More Gym Red emerges on the collar 'Wings' logo and tongue tag while the usual perforations on the toe box provide breathability. Underfoot visible Air in the heel provides cushioning giving way to a concentric rubber outsole for traction.
213,Jordan 1 Mid SE Purple, Jordan, 852542-105,115,145, 105, 80, 6374ff50c30ceb3748b48757, Jordan 1 Mid, White/Black-Light Solar Flare Heather-Varsity Purple, 2020-11-19, The Air Jordan 1 Mid SE 'Varsity Purple' brings an elevated look to its classic basketball design. Built with a white leather base the upper is overlaid by black suede at the forefoot with Varsity Purple suede on the heel. Pink accents the tongue while perforations on the toe box provide breathability. An Air midsole underfoot provides cushioning giving way to a Varsity Purple rubber outsole with a concentric traction pattern.
214,Jordan 1 Mid Arctic Orange Black Toe, Jordan, 554724-133,115,115, 120, 120, 6374ff50c30ceb3748b48758, Jordan 1 Mid, White/Arctic Orange-Black, 2021-05-04, The Air Jordan 1 Mid 'Crimson Tint' brings pastel accents and a contrasting finish to the classic basketball silhouette. Redolent of a 2019 model the 2021 release is built with leather appearing in a mix of white Crimson Tint and black. A nylon tongue supports the fit as does a perforated toe box while underfoot the white midsole houses Air in the heel for cushioning. More Crimson Tint marks the concentric rubber outsole which offers traction.
215,Jordan 1 Mid Arctic Orange Black Toe (GS), Jordan, 554725-133,90,132, 105, 95, 6374ff50c30ceb3748b48759, Jordan 1 Mid, White/Arctic Orange-Black, 2021-05-04, The Air Jordan 1 Mid GS 'Crimson Tint' brings a contrasting look to grade-school sizes. Built with leather the shoe's upper appears in white contrasted by black on the forefoot and accented by Crimson Tint on the heel eyestay and Swoosh branding. Underfoot a white midsole houses Air for cushioning giving way to more Crimson Tint on the concentric rubber outsole which offers traction.
216,Jordan 5 Retro Fire Red Silver Tongue (2020), Jordan, DA1911-102,200,200, 215, 100, 6374ff50c30ceb3748b4875a, Jordan 5 Retro, White/Black-Metallic Silver-Fire Red, 2020-05-02, Released in May 2020 the Air Jordan 5 Retro 'Fire Red' 2020 brings back an OG look for the silhouette's 30th anniversary. Built with white leather the upper includes a reflective silver tongue and a mesh insert at the quater panel. Fire Red accents emerge throughout including on the shark-tooth detailing underfoot while visible Air in the heel provides cushioning.
217,Jordan 1 Retro High OG University Blue (PS), Jordan, AQ2664-134,80,178, 151, 140, 6374ff50c30ceb3748b4875d, Jordan 1 Retro High OG, University Blue/White-Black-University Blue, 2021-03-06, The Air Jordan 1 Retro High OG PS 'University Blue' is a preschool shoe with a University of North Carolina colorway. Built with leather the shoe's upper sports white underlays and University Blue overlays contrasted by the collar and Swoosh. A lightly padded nylon tongue supports the fit while underfoot the classic rubber cupsole includes a concentric rubber outsole for traction.
218,Jordan 2 Retro SP Maison Chateau Rouge, Jordan, DO5254-180,225,150, 165, 165, 6374ff50c30ceb3748b4875f, Jordan 2 Retro SP, Sail/Citron Pulse-Orange-Cinnamon, 2022-07-14, Designed in collaboration with the Parisian fashion label the exalted design of the Maison Château Rouge x Air Jordan 2 ‘United Youth International’ spotlights heritage and community. Designer Youssouf Fofana joins once more with Jordan Brand to provide his unique look for the Air Jordan 2 with orange hand-stitching on the tongue and collar echoing his 2019 Air Jordan 1 Mid collaboration. The off-white leather upper's forefoot and heel are layered in orange nubuck and custom insoles feature artwork of the iconic Jumpman image. Nike and Maison Château Rouge share branding real estate with a yellow Wings logo on the tongue the left heeltab displaying 'Nike' while the Maison Château Rouge branding is on the right.
219,Jordan 1 Mid SE Turf Orange, Jordan, DD6834-802,110,105, 90, 90, 6374ff50c30ceb3748b48760, Jordan 1 Mid SE, Turf Orange/Black/White, 2021-03-17, The Air Jordan 1 Mid SE 'Turf Orange' gives a new iteration of the iconic shoe design redesigned in Turf Orange and Black. Its upper accentuates a leather base with overlays and the signature Jordan Wings’ Logo. On the upper a Swoosh branding emphasizes the design with a Nike branded nylon tongue. The midsole is built on top of a rubber outsole with a circular design for traction.
220,Jordan 4 Retro University Blue (PS), Jordan, BQ7669-400,85,100, 91, 59, 6374ff50c30ceb3748b48761, Jordan 4 Retro, University Blue/Tech Grey/White/Black, 2021-04-28, The Air Jordan 4 Retro PS 'University Blue' is a preschool iteration of the shoe. Featuring a University of North Carolina-style look the shoe's upper includes a suede construction finished in University Blue and highlighted by cement detailing that recalls the 'White Cement.' The tongue includes a woven jock tag similiar to the labels on retro Nike basketball jerseys while visible Air in the midsole underfoot provides cushioning.
221,Jordan 5 Retro SE Oregon, Jordan, CK6631-307,225,187, 184, 165, 6374ff50c30ceb3748b48762, Jordan 5 Retro, Apple Green/Black-Yellow Strike-Black, 2020-09-12, Giving the nod to the University of Oregon the Air Jordan 5 Retro SE 'Oregon' emerges with the school's colors on its classic basketball construction. Built with suede the upper appears in Apple Green with black constrast on the eyelets tongue and mesh inserts. Underfoot more black emerges on the Air midsole which is accented by Yellow Strike on the signature shark-tooth detailing.
222,Jordan 1 Mid SE Fearless Blue the Great, Jordan, CU2805-100,130,142, 147, 140, 6374ff50c30ceb3748b48763, Jordan 1 Mid SE, Muslin/Varsity Red-Royal-Taxi-Black, 2019-11-09, The Blue the Great x Air Jordan 1 Mid 'Fearless' showcases the Los Angeles-based artist’s love of primary colors. The sneaker’s bold hues are executed on an unexpected build that uses a combination of suede and corduroy along with fuzzy chenille on the Nike Swoosh. Branding hits include a white woven tongue tag embroidered ‘Wings’ logo on the lateral ankle and a BTG emblem on the heel.
223,Jordan 36 Taco Jay, Jordan, DQ6866-803,195,136, 124, 124, 6374ff50c30ceb3748b48768, Jordan 36, Citron Pulse/Atomic Green/Cone/Black, 2022-06-17, The Air Jordan 36 Nitro is the statement performance shoe from the Jordan Brand featuring a full-length Zoom Air strobel with another Zoom Air unit stacked under the forefoot for optimal cushioning. Worn by Celtics star Jayson Tatum for most of the 2021-2022 NBA season the 'Taco Jay' colorway is inspired by his favorite postgame snack. The Leno-weave upper arrives in a bright yellow hue akin to shredded cheddar cheese while green accents recall hot sauce. 'Taco Jay' can be found on the pull-tabs and sockliner while a taco graphic adorns the middle of the tongue.
224,Jordan 7 Retro SE Vachetta Tan, Jordan, DZ4729-200,210,135, 115, 115, 6374ff50c30ceb3748b48769, Jordan 7 Retro SE, Vachetta Tan/Black/Taxi/Dark Concord, 2022-10-22, As a nod to Afrobeat's combo of West African musical style and American jazz soul and funk the Air Jordan 7 Retro ‘Afrobeats’ reimagines a classic Jordan silhouette. The upper in Vachetta Tan leather delivers subtle embossing at the heel and on the forefoot. Standing out against this neutral base are the black laces and inner sleeve and tongue decorated with geometric imagery in black and white and the purple-and-gold 'Air Jordan.' The heel is adorned with the signature Nike Air logo. The all-black outsole is highlighted by the Air-assisted PU midsole which echoes the colorful tongue with jagged purple and gold patterning.
225,Jordan 9 Retro Fire Red, Jordan, CT8019-162,200,272, 245, 245, 6374ff50c30ceb3748b4876b, Jordan 9 Retro, White/Fire Red/Cool Grey, 2022-11-05, The Air Jordan 9 originally launched in 1993 when MJ retired from the game to play baseball. Since it's release the AJ9 has become a worldwide phenomenon arriving in several colors including this 'Fire Red' iteration. A white leather base on the upper is framed with grey patent leather that curves from the heel to the toe area and midsole. Fire Red accents appear on the lace loops pull tab and Jordan logos adding a nice contrast.
226,Jordan 11 Retro Animal Instinct (W), Jordan, AR0715-010,225,122, 90, 80, 6374ff50c30ceb3748b48770, Jordan 11 Retro, Black/Red-Sail-White, 2020-11-26, With a wildlife-inspired makeover of Tinker Hatfield's original 1995 design comes the women's Air Jordan 11 Retro 'Animal Instinct.' The mid-top's classic patent leather overlay is replaced by a furry ivory-colored overlay and is finished in a medley of cheetah leopard and zebra prints in black. Black nubuck makes up the rest of the upper with tonal webbing lace loops and a raised Jumpman logo is on the lateral ankle. Clashing crimson accents are featured on the '23' that's printed on the heel tab and a mini-Jumpman on the tongue. It's built on a white Phylon midsole fitted with a full-length Nike Air unit and a smoky translucent rubber outsole with herringbone-traction rubber pods.
227,Jordan 1 Retro High OG Patent Bred (PS), Jordan, AQ2664-063,80,102, 101, 101, 6374ff50c30ceb3748b48771, Jordan 1 Retro High OG, Black/White-Varsity Red, 2021-12-30, The Air Jordan 1 Retro High OG PS 'Patent Bred' is a remixed version of the OG 1985 colorway available in kid sizes. A familiar two-tone palette is on the shiny patent leather upper highlighted by a black base with contrasting hits of red on the perforated toe box signature Swoosh heel panel and collar overlays. The latter features a retro Wings logo on the lateral side while a woven Nike tag is on the black nylon tongue. It's built on a crimson rubber cupsole with a concentric-circle traction pattern.
228,Jordan 1 Retro High Light Smoke Grey, Jordan, 555088-126,170,202, 201, 189, 6374ff50c30ceb3748b48772, Jordan 1 Retro High, White/Black-Light Smoke Grey-Varsity Red, 2020-07-11, The Air Jordan 1 Retro High OG 'Light Smoke Grey' emerges with a neutral look and a vibrant accent. The shoe's upper features a white leather base overlaid by Light Smoke Grey suede with black contrast on the Swoosh collar laces and tongue tag. The collar flap highlights the look in Varsity Red matched by the tongue branding while an Air midsole and concentric outsole support the fit underfoot.
229,Jordan 4 Retro Golf Bred, Jordan, CU9981-002,220,212, 185, 185, 6374ff50c30ceb3748b48773, Jordan 4 Retro Golf, Black/Fire Red-Cement Grey-White, 2021-12-21, Transforming the OG colorway with a retooled build designed for the golf course is the Air Jordan 4 Golf 'Bred.' The upper recreates the 1989 original highlighted by a black nubuck upper with tonal quarter panel netting grey TPU eyelets and red Jumpman branding on the woven tongue tag with another Jumpman logo on the molded heel tab. The AJ4's distinctive midsole comes with a visible Air-sole unit in the heel and a translucent outsole plate has seven removable spikes for better grip.
230,Jordan 1 Retro High OG Pollen (GS), Jordan, 575441-701,130,98, 77, 77, 6374ff50c30ceb3748b48774, Jordan 1 Retro High OG, Pollen/Black-White, 2021-08-14, Recalling the 1985 'Iowa' Dunk colorway from the Be True to Your School series the Air Jordan 1 Retro High OG GS 'Pollen' released in 2021. The shoe's upper is built with black tumbled leather overlaid by contrasting smooth Pollen leather throughout including the Swoosh branding. The toe box includes the usual perforations for breathability while underfoot a white midsole with Air provides cushioning. A concentric rubber outsole is included for traction.
231,Jordan 5 Retro What The, Jordan, CZ5725-700,220,185, 163, 163, 6374ff50c30ceb3748b48776, Jordan 5 Retro, Varsity Maize/Court Purple-Ghost Green-Solar Orange, 2020-11-12, Celebrating 30 years of the silhouette the Air Jordan 5 Retro SE 'What The' brings together elements of various Air Jordan 5 models. The right shoe's yellow suede upper draws from the 'Tokyo' with a stylized '23' on the heel. The left shoe incorporates the Raging Bull pack with red suede accented by a 'Shanghai' heel emblem. Underfoot both midsoles house visible Air in the heel for cushioning while elements of the 'Bel-Air' 'Laser' and 'Quai 54' are also included.
232,Jordan 1 Retro High OG Atmosphere (PS), Jordan, CU0449-641,80,80, 111, 111, 6374ff50c30ceb3748b48779, Jordan 1 Retro High OG, Atmosphere/Obsidian-Laser Pink-White, 2021-12-22, The Air Jordan 1 Retro High OG SE PS 'Bubble Gum' made for kids adds a brighter colorway to the iconic silhouette. The white quarter panels of the leather upper are paired with an Obsidian-colored Swoosh that's repeated on the eyestay and forefoot overlay with the toe box heel and collar overlay rendered in pink patent leather. A concentric-circle traction pattern is featured on the pink rubber outsole.
233,Jordan 1 Low Light Smoke Grey, Jordan, 553558-030,90,266, 225, 225, 6374ff50c30ceb3748b4877a, Jordan 1 Low, Light Smoke Grey/Gym Red-White, 2020-09-29, The Air Jordan 1 Low 'Light Smoke Grey' gives a new iteration of the iconic shoe design updated in Light Smoke Grey and Gym Red. Its upper spotlights a leather base with overlays and the signature Wings’ Logo. On the upper a Swoosh branding emphasizes the design with a Nike branded nylon tongue. The midsole is built on top of a rubber outsole with a circular build for traction.
234,Jordan 4 Retro Off-White Sail (W), Jordan, CV9388-100,200,1091, 1215, 1000, 6374ff50c30ceb3748b4877c, Jordan 4 Retro, Sail/Muslin-White-Black, 2020-07-25, The OFF-WHITE x Wmns Air Jordan 4 SP 'Sail' released as part of a collaboration between Virgil Abloh's luxury brand and Jordan Brand. The classic basketball silhouette emerges with a deconstructed leather build finished in off-white and complemented by semi-translucent TPU on the eyelets wings and heel panel. A tonal zip-tie and 'Air' above the visible cushioning complete the look.
235,Jordan 5 Retro Alternate Grape, Jordan, 136027-500,190,208, 235, 160, 6374ff50c30ceb3748b4877f, Jordan 5 Retro, Grape Ice/New Emerald-Black, 2020-07-08, The Air Jordan 5 Retro 'Alternate Grape' brings an updated look to a colorway that debuted as an OG look in 1990. Built with purple suede the upper includes mesh inserts at the quarter panel and New Emerald on the tongue and lace lock. Underfoot the midsole sports more New Emerald on the shark-tooth detailing while Air in the heel provides cushioning.
236,Jordan 3 Retro UNC (2020), Jordan, CT8532-104,190,420, 348, 348, 6374ff50c30ceb3748b48780, Jordan 3 Retro, White/Valor Blue-Tech Grey, 2020-03-07, The Air Jordan 3 Retro 'UNC' looks to Michael Jordan's college days for inspiration. As a result the shoe's white leather upper is accented by hits of Valor Blue while the toe and heel sport elephant print overlays. Underfoot more Valor Blue emerges on the midsole above the visible Air unit.
237,Jordan 1 Retro High OG SP Utility Neutral Olive Light Steel Grey, Jordan, DO8727-200,170,125, 117, 117, 6374ff50c30ceb3748b48785, Jordan 1 Retro High OG SP Utility, Neutral Olive/Taxi-Light Steel Grey-Black, 2022-10-07, With elements of the original silhouette intact the Air Jordan 1 Retro High OG Utility ‘Neutral Olive’ infuses the classic favorite with a rich mix of textures and details. The metallic upper in olive and silvery grey utilizes unexpected pockets for small storage on the quarter panels and the heel the latter sporting bright yellow chunky zippers. Underfoot the rubber cupsole off-white sidewalls and rubber outsole in black deliver lofty support. The AJ Wings logo adorns the lateral collar.
